Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
part1.csv:/search/Ivermectin,501,28,00:00:03,3,0.00%,1.20%,$0.00
part1.csv:/search/long covid,500,119,00:00:26,31,0.00%,9.20%,$0.00
part1.csv:/search/anosmia,399,90,00:00:06,7,0.00%,9.02%,$0.00
part1.csv:/search/Origin,335,2,00:00:03,1,0.00%,0.00%,$0.00
part1.csv:/search/sustentacular,324,78,00:00:21,2,0.00%,3.70%,$0.00
part1.csv:/search/ivermectin,199,45,00:00:16,6,0.00%,3.52%,$0.00
part1.csv:/search/long covid in children,192,34,00:00:27,10,0.00%,1.04%,$0.00
part1.csv:/search/Ultraviolet,161,4,00:00:06,0,0.00%,0.62%,$0.00
part1.csv:/search/ocular,155,47,00:00:16,30,0.00%,17.42%,$0.00
part1.csv:/search/RNA vaccine,146,13,00:00:07,6,0.00%,4.79%,$0.00
part1.csv:/search/origins,132,3,00:00:28,1,0.00%,1.52%,$0.00
part1.csv:/search/Indoor air,128,5,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/delta,125,16,00:00:05,5,20.00%,7.20%,$0.00
part1.csv:/search/Aspirin,107,10,00:00:15,7,0.00%,6.54%,$0.00
part1.csv:/search/Determinants of persistent post-COVID-19 symptoms: value of a novel COVID-19 symptom score,105,4,00:00:15,1,0.00%,0.95%,$0.00
part1.csv:/search/Delta,102,7,00:00:22,1,0.00%,1.96%,$0.00
part1.csv:/search/surrogate neutralization,96,7,00:00:03,1,0.00%,2.08%,$0.00
part1.csv:/search/Nicaragua,94,9,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/viral load,90,18,00:00:17,2,0.00%,3.33%,$0.00
part1.csv:/search/Reinfection,89,3,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/subclonal,88,8,00:01:19,6,0.00%,6.82%,$0.00
part1.csv:/search/eye,85,18,00:01:02,1,0.00%,7.06%,$0.00
part1.csv:/search/Hospitalised patients,85,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Pregnancy,83,7,00:00:04,1,0.00%,2.41%,$0.00
part1.csv:"/search/""Long covid""",76,3,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/content analysis,76,11,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/Immunity booster,75,7,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/hospitalization,73,6,00:00:04,0,0.00%,4.11%,$0.00
part1.csv:/search/peru,73,3,00:00:30,0,0.00%,0.00%,$0.00
part1.csv:/search/breakthrough,72,12,00:00:38,1,0.00%,4.17%,$0.00
part1.csv:/search/Lambda,71,7,00:00:03,2,0.00%,4.23%,$0.00
part1.csv:/search/Moderna,71,8,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Endotracheal,66,1,00:00:03,0,0.00%,1.52%,$0.00
part1.csv:/search/Supportive treatment,64,4,00:00:36,0,0.00%,0.00%,$0.00
part1.csv:/search/protozoa,63,18,00:00:13,1,0.00%,4.76%,$0.00
part1.csv:/search/ADHD,62,13,00:00:08,0,0.00%,1.61%,$0.00
part1.csv:/search/children,62,9,00:00:40,1,0.00%,4.84%,$0.00
part1.csv:/search/ocular manifestations,62,15,00:00:11,3,0.00%,3.23%,$0.00
part1.csv:/search/pregnancy,62,13,00:00:22,2,0.00%,3.23%,$0.00
part1.csv:/search/transmission,62,14,00:00:15,1,0.00%,4.84%,$0.00
part1.csv:/search/vaccine for children,62,4,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/fomite,60,11,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Non phar,59,4,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Clinical characteristics,57,5,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/placenta,57,11,00:00:22,7,0.00%,19.30%,$0.00
part1.csv:/search/Prophylaxis,57,3,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/single cell,57,7,00:00:09,1,0.00%,1.75%,$0.00
part1.csv:/search/Clinical characteristics of hospitalised patients,52,3,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/coronavirus origin,51,9,00:00:29,1,0.00%,1.96%,$0.00
part1.csv:/search/Rapid antigen test,51,4,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/long COVID,50,5,00:00:15,0,0.00%,2.00%,$0.00
part1.csv:/search/outdoor transmission,50,13,00:00:02,5,0.00%,8.00%,$0.00
part1.csv:/search/variant,50,15,00:00:47,4,0.00%,8.00%,$0.00
part1.csv:/search/Incubation period,47,3,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine effectiveness,46,8,00:00:11,1,0.00%,8.70%,$0.00
